K Value,Train Accuracy,Validation Accuracy,Test Accuracy
2,0.928,0.8375,0.8433571428571428
5,0.8955714285714286,0.8515,0.8499285714285715
10,0.8735238095238095,0.8488571428571429,0.8487857142857143
15,0.8630238095238095,0.8447857142857143,0.8443571428571428
20,0.854904761904762,0.8403571428571428,0.8406428571428571
30,0.8453095238095238,0.8325714285714285,0.8375
50,0.8334047619047619,0.8247857142857142,0.8275
